Year,Europe,Caribbean,Asia,South America,Central America,Oceania,Middle East,Africa,Mexico,Canada
1996,8946300,4020600,3155100,1455500,1045600,591800,433800,137600,3992400,3047200
1997,10099400,4108100,3399500,1681500,1094300,611500,449800,178000,4343300,3192400
1998,10995500,4170500,3459600,1824300,1323800,667600,432200,196200,4442600,3622800
1999,5732400,2532500,2061200,1029100,862200,489600,225000,115800,2804800,1762400
2000,12774176,4585966,3859533,1806876,1524305,831619,447328,222480,4754169,3871893
2001,11891361,4360958,3731139,1841262,1574272,795620,326098,229611,4516391,3767084
2002,10496806,4265191,3654389,1718861,1543032,701415,303559,175755,4114876,3792550
2003,10496806,4265191,3654389,1718861,1543032,701415,303559,175755,4114876,3792550
2004,10796109,4866514,3450914,1828571,1812198,756892,350497,201853,4532860,3502064
2005,12132467,5105652,4353437,1976316,2090070,765349,480879,197733,5157100,3922702
2006,12423083,5356355,4783018,2164094,2286024,781383,546334,200661,5618727,3891935
2007,12908684,5743838,5179270,2301861,2356383,817444,473773,165802,5698485,3837162
2008,12420662,5634789,5487373,2535245,2566229,764399,852368,317343,5866545,3581759
2009,11929977,5515526,5265778,2566726,2524852,784025,1204885,397204,5249810,3280273
2010,11092069,5702608,4854619,2119092,2264481,676011,1338068,415419,5373660,3465111
2011,10825923,6031974,4135648,1653593,2158365,504833,1346896,365776,5537383,3518788
2012,11244637,6435343,4312544,1702869,2394332,547271,1500282,364867,5772321,3534659
2013,11407988,6545774,4327266,1735188,2496061,571756,1579482,351948,6219043,3770362
2014,11892216,7171872,4508517,1771505,2697107,601325,1779683,357923,6930590,3410123
2015,12598860,7648197,4842660,1869463,2790865,643485,2045251,350572,7993665,3633045
2016,13614365,7878885,5382958,2010477,2984133,724883,2176309,364892,8933753,4515539
2017,15792769,8320516,5770890,1925300,3032002,776496,2306334,403151,9810713,4815830
