Year,Unemployment Rate
1996,5.408333333333334
1997,4.941666666666666
1998,4.5
1999,4.216666666666668
2000,3.9666666666666663
2001,4.741666666666666
2002,5.783333333333334
2003,5.991666666666667
2004,5.541666666666667
2005,5.083333333333333
2006,4.608333333333333
2007,4.616666666666667
2008,5.8
2009,9.283333333333333
2010,9.608333333333333
2011,8.933333333333334
2012,8.075000000000001
2013,7.358333333333334
2014,6.175000000000001
2015,5.266666666666667
2016,4.866666666666666
2017,4.3500000000000005
