,,,,"U.S. CITIZEN AIR TRAFFIC TO OVERSEAS REGIONS, CANADA & MEXICO FOR 2000",,,,,,,,,,,

,,,,,,        (IN THOUSANDS),,,,,,,,,

,,,,,,,,,,,,,,YTD,YTD %chg.
Regions,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,00/99

Europe,, 702 , 700 ," 1,111 "," 1,007 "," 1,316 "," 1,566 "," 1,426 "," 1,204 "," 1,237 ", 980 , 846 ,," 12,096 ",10.8%
Central America,, 122 , 126 , 146 , 128 , 118 , 153 , 174 , 140 , 92 , 101 , 125 ,," 1,425 ",5.8%
Caribbean,, 315 , 348 , 392 , 402 , 388 , 435 , 517 , 456 , 306 , 320 , 362 ,," 4,242 ",3.1%
South America,, 145 , 154 , 165 , 131 , 136 , 169 , 188 , 169 , 132 , 134 , 146 ,," 1,670 ",2.2%
Africa,, 15 , 15 , 19 , 17 , 19 , 25 , 26 , 23 , 18 , 17 , 16 ,, 209 ,11.8%
Middle East,, 29 , 31 , 39 , 33 , 41 , 52 , 55 , 52 , 36 , 30 , 23 ,, 420 ,1.6%
Asia,, 313 , 274 , 338 , 321 , 351 , 398 , 368 , 322 , 305 , 309 , 274 ,," 3,572 ",6.7%
Oceania,, 75 , 78 , 74 , 67 , 57 , 78 , 76 , 65 , 76 , 75 , 68 ,, 788 ,7.1%
,,,,,,,,,,,,,,,
TOTAL OVERSEAS ,," 1,716 "," 1,727 "," 2,283 "," 2,106 "," 2,426 "," 2,875 "," 2,829 "," 2,430 "," 2,202 "," 1,966 "," 1,860 ",," 24,420 ",7.6%
,,,,,,,,,,,,,,,
Canada,, 193 , 229 , 253 , 251 , 310 , 430 , 497 , 477 , 374 , 303 , 246 ,," 3,562 ",2.4%
Mexico,, 380 , 371 , 429 , 409 , 410 , 455 , 477 , 438 , 323 , 364 , 395 ,," 4,451 ",2.9%
,,,,,,,,,,,,,,,
GRAND TOTAL,," 2,288 "," 2,326 "," 2,965 "," 2,765 "," 3,147 "," 3,760 "," 3,803 "," 3,346 "," 2,899 "," 2,633 "," 2,501 ",," 32,433 ",6.2%

"Note:  All data reported are from TI's ""U.S. International Air Travel Statistics Report"" except for the Canada air data",,,,,,,,,,,,,, ,
            TI obtains the information on U.S. departures to Canada from Statistics Canada,,,,,,,,,, ,,,,,

"@ For the same period, 1999",,,,,,,,,,,,,,,

"Source:  U.S. Department of Commerce, International Trade Administration, Tourism Industries",,,,,,,,,,,,,,,
