PRELIMINARY,,,,,,,,,,,,,,
"U.S. CITIZEN AIR TRAFFIC TO OVERSEAS REGIONS, CANADA & MEXICO",,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,
(IN THOUSANDS),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,YTD,YTD %chg.
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,98/97@
Europe,629.8 ,588.6 ,893.1 ,846.6 ,1100.6 ,1284.3 ,1203.4 ,1033.0 ,1076.8 ,883.5 ,710.9 ,744.9 ,"10,995.4 ",8.9%
Central America,100.3 ,99.1 ,112.9 ,106.3 ,101.4 ,126.1 ,139.8 ,119.2 ,75.4 ,88.2 ,100.7 ,154.4 ,"1,323.8 ",19.9%
Caribbean,320.4 ,318.5 ,346.9 ,371.4 ,346.5 ,373.9 ,434.4 ,400.8 ,261.0 ,292.4 ,315.0 ,389.3 ,"4,170.4 ",1.5%
South America,147.8 ,146.3 ,144.2 ,126.5 ,136.6 ,161.1 ,184.6 ,168.5 ,127.2 ,135.1 ,143.6 ,202.8 ,"1,824.2 ",8.5%
Africa,13.4 ,13.7 ,16.9 ,14.1 ,15.8 ,19.5 ,22.8 ,17.8 ,14.7 ,14.8 ,13.4 ,19.3 ,196.2 ,10.3%
Middle East,28.3 ,23.6 ,29.4 ,36.9 ,33.9 ,48.1 ,47.6 ,53.2 ,35.3 ,36.0 ,28.2 ,31.7 ,432.2 ,-3.9%
Asia,314.3 ,246.8 ,288.4 ,281.1 ,301.3 ,309.8 ,295.2 ,281.8 ,257.2 ,291.0 ,274.4 ,318.3 ,"3,459.5 ",1.8%
Oceania,58.1 ,55.8 ,53.2 ,50.8 ,44.1 ,54.3 ,63.6 ,51.4 ,47.8 ,65.4 ,55.0 ,68.1 ,667.6 ,8.8%
TOTAL OVERSEAS ,"1,612.4 ","1,492.4 ","1,885.0 ","1,833.7 ","2,080.2 ","2,377.1 ","2,391.4 ","2,125.7 ","1,895.4 ","1,806.3 ","1,641.1 ","1,928.6 ","23,069.2 ",6.6%
Canada,172.1,190,215.2,232.3,305.4,420.6,484.9,455.9,323.6,320.7,233.1,269,"3,622.8 ",13.5%
Mexico,353,336.6,370.2,381.1,371.4,398.4,425.8,389.7,271,334.6,377.7,433.1,"4,442.6 ",2.5%
GRAND TOTAL,"2,137.5 ","2,019.0 ","2,470.4 ","2,447.1 ","2,757.0 ","3,196.1 ","3,302.1 ","2,971.3 ","2,490.0 ","2,461.6 ","2,251.9 ","2,630.7 ","31,134.6 ",6.8%
,,,,,,,,,,,,,,
"Note:  All data reported are from TI's ""U.S. International Air Travel Statistics Report"" except for the Canada air data.",,,,,,,,,,,,, ,
TI obtains the information on U.S. departures to Canada from Statistics Canada.,,,,,,,,, ,,,,,
"@ For the same period, 1997",,,,,,,,,,,,,,
"Source:  U.S. Department of Commerce, International Trade Administration, Tourism Industries, 12-May-99",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
